category,question,participants,total_usd,whale_pct,whale_sold_early,everyone_bailed,market_entry_yes,signal_payout_yes,outcome,signal_correct,favorite_correct
Geopolitics,"US x Iran permanent peace deal by June 15, 2026?",36,1517657,0.40,0,0,0.175,0.681,1,1,0
Geopolitics,"US x Iran permanent peace deal by May 31, 2026?",36,413848,0.34,1,0,0.155,0.220,0,1,1
Geopolitics,"US x Iran permanent peace deal by June 30, 2026?",35,333755,0.25,1,0,0.185,0.322,1,0,0
Geopolitics,"US x Iran ceasefire extended by April 22, 2026?",33,1300260,0.32,0,0,0.004,0.023,0,1,1
Geopolitics,"US forces enter Iran by April 30?",31,1291803,0.43,1,0,0.915,0.870,1,1,1
Other,"Strait of Hormuz traffic returns to normal by end of May?",31,384470,0.31,1,0,0.058,0.157,0,1,1
Geopolitics,"US x Iran ceasefire by April 7?",27,799681,0.49,1,0,0.995,0.941,1,1,1
Geopolitics," Iran agrees to end enrichment of uranium by June 30?",27,266131,0.44,1,0,0.475,0.257,0,1,1
Other,"Strait of Hormuz traffic returns to normal by end of April?",27,243528,0.36,0,0,0.385,0.139,0,1,1
Geopolitics,"Will Donald Trump announce that the United States blockade of the Strait of Hormuz has been lifted by May 31, 2026?",26,336082,0.54,1,0,0.175,0.438,0,1,1
Geopolitics,"Iran x Israel/US conflict ends by April 7?",23,273383,0.45,1,0,0.463,0.768,1,1,0
Crypto,"MicroStrategy sells any Bitcoin by May 31, 2026?",23,2133902,0.31,0,0,0.123,0.062,0,1,1
Other,"Will the Iranian regime fall by June 30?",23,226563,0.25,0,0,0.018,0.105,0,1,1
Geopolitics,"Will the Iran ceasefire continue through May 24?",21,293349,0.88,0,0,0.575,0.952,1,1,1
Geopolitics,"US announces new Iran agreement/ceasefire extension by June 15?",20,63226,0.33,1,0,0.310,0.437,1,0,0
Geopolitics,"Iran closes its airspace by May 31?",20,154265,0.22,0,0,0.400,0.331,0,1,1
Geopolitics,"US x Iran permanent peace deal by May 26, 2026?",19,83700,0.24,1,0,0.085,0.330,0,1,1
Geopolitics,"US x Iran permanent peace deal by April 22, 2026?",19,64019,0.24,1,0,0.009,0.225,0,1,1
Geopolitics,"US x Iran permanent peace deal by April 30, 2026?",18,55313,0.28,1,0,0.275,0.172,0,1,1
Other,"US obtains Iranian enriched uranium by May 31?",18,194597,0.39,0,0,0.065,0.094,0,1,1
Geopolitics,"US x Iran diplomatic meeting by April 22, 2026?",18,44552,0.45,1,0,0.021,0.489,0,1,1
Geopolitics,"US x Iran permanent peace deal by July 31, 2026?",17,120985,0.56,1,0,0.535,0.506,1,1,1
Geopolitics,"US x Iran permanent peace deal by December 31, 2026?",17,62569,0.12,1,0,0.725,0.872,1,1,1
Geopolitics,"US announces new Iran agreement/ceasefire extension by June 30?",17,41068,0.19,1,0,0.425,0.686,1,1,0
Geopolitics,"US x Iran diplomatic meeting by May 31, 2026?",17,145824,0.58,1,0,0.440,0.253,0,1,1
Geopolitics,"US announces new Iran agreement/ceasefire extension by May 31?",17,122989,0.35,1,0,0.245,0.340,0,1,1
Geopolitics,"US x Iran diplomatic meeting by April 30, 2026?",17,37480,0.33,1,0,0.605,0.435,0,1,0
Geopolitics,"US forces enter Iran by March 31?",17,126092,0.32,1,0,0.165,0.115,0,1,1
Geopolitics,"US x Iran diplomatic meeting by June 30, 2026?",16,89580,0.50,1,0,0.705,0.603,1,1,1
Geopolitics,"Will Donald Trump announce that the United States blockade of the Strait of Hormuz has been lifted by June 30, 2026?",16,55879,0.34,1,0,0.675,0.458,1,0,1
Geopolitics,"Iran closes its airspace by May 8?",16,109724,0.41,1,0,0.215,0.221,0,1,1
Geopolitics,"Israel closes its airspace by June 15?",16,33789,0.21,1,0,0.195,0.247,0,1,1
Geopolitics,"Will Trump agree to withdraw troops from the Iranian region by June 30?",15,35667,0.17,1,0,0.705,0.563,1,1,1
Geopolitics,"US announces new Iran agreement/ceasefire extension by June 7?",15,43741,0.30,1,0,0.555,0.262,0,1,0
Geopolitics,"Iran closes its airspace by May 24?",14,150045,0.77,1,0,0.145,0.326,0,1,1
Geopolitics,"US x Iran permanent peace deal by June 7, 2026?",14,87012,0.53,0,0,0.015,0.137,0,1,1
Geopolitics,"Trump announces end of military operations against Iran by April 30th?",14,86400,0.22,1,0,0.510,0.255,0,1,0
Geopolitics,"Will the Iran ceasefire continue through May 22?",13,106269,0.94,1,0,0.895,0.997,1,1,1
Other,"Strait of Hormuz traffic returns to normal by May 15?",13,143695,0.47,0,0,0.002,0.082,0,1,1
Other,"Will the Iranian regime fall by May 31?",13,45443,0.52,0,0,0.036,0.024,0,1,1
Other,"Kharg Island no longer under Iranian control by May 31?",13,247425,0.53,0,0,0.049,0.078,0,1,1
Geopolitics,"Iran closes its airspace by June 8?",13,67713,0.55,0,0,0.028,0.703,1,1,0
Geopolitics,"Israel closes its airspace by June 30?",13,9658,0.21,1,0,0.095,0.062,0,1,1
Geopolitics,"US announces new Iran agreement/ceasefire extension by June 14",13,33705,0.25,1,0,0.240,0.478,1,0,0
Geopolitics,"Will Trump say ""Iran"" during events with Xi Jinping?",12,418289,0.73,0,0,0.036,0.069,0,1,1
Geopolitics,"Iran closes its airspace by June 15?",12,40411,0.74,0,0,0.165,0.530,1,1,0
Geopolitics,"US x Iran diplomatic meeting by June 15, 2026?",12,31777,0.32,1,0,0.355,0.423,0,1,1
Geopolitics,"US x Iran diplomatic meeting by May 15, 2026?",12,42638,0.33,1,0,0.055,0.243,0,1,1
Geopolitics,"Iran leadership change by April 30?",12,29376,0.34,0,0,0.065,0.150,0,1,1
Geopolitics,"Iran agrees to surrender enriched uranium stockpile by June 30, 2026?",12,30383,0.27,1,0,0.115,0.201,0,1,1
Geopolitics,"Will Donald Trump announce that the United States blockade of the Strait of Hormuz has been lifted by June 15, 2026?",12,28020,0.25,1,0,0.280,0.377,1,0,0
Other,"Strait of Hormuz traffic returns to normal by June 15?",12,39221,0.30,1,0,0.040,0.092,0,1,1
Geopolitics,"US announces new Iran agreement/ceasefire extension by June 12?",11,19951,0.28,0,0,0.066,0.088,0,1,1
Geopolitics,"US-Iran nuclear deal by May 31?",11,7367,0.49,1,0,0.147,0.170,0,1,1
Geopolitics,"US x Iran diplomatic meeting by July 31, 2026?",11,16192,0.24,0,0,0.455,0.734,1,1,0
Geopolitics,"US x Iran permanent peace deal by May 15, 2026?",11,137736,0.69,1,0,0.190,0.173,0,1,1
Geopolitics,"Iran agrees to surrender enriched uranium stockpile by April 30, 2026?",11,37880,0.48,1,0,0.476,0.233,0,1,1
Geopolitics,"Will Donald Trump announce that the United States blockade of the Strait of Hormuz has been lifted by April 23, 2026?",11,21931,0.42,1,0,0.245,0.183,0,1,1
Geopolitics,"US announces new Iran agreement/ceasefire extension by May 29?",11,20792,0.26,1,0,0.125,0.133,0,1,1
Geopolitics,"US x Iran diplomatic meeting by April 21, 2026?",11,23464,0.51,1,0,0.002,0.228,0,1,1
Geopolitics,"Will Ken Paxton win the 2026 Texas Republican Primary?",10,25386,0.41,1,0,0.605,0.220,1,0,1
Geopolitics,"Will Trump agree to unfreeze Iranian assets by June 30?",10,24070,0.55,1,0,0.515,0.498,1,0,1
Geopolitics,"Will Spencer Pratt win the 2026 Los Angeles mayoral election?",10,293299,0.75,1,0,0.006,0.213,0,1,1
Geopolitics,"Will the next diplomatic US-Iran meeting be in Pakistan?",10,10688,0.47,0,0,0.188,0.372,0,1,1
Other,"Kharg Island no longer under Iranian control by June 30?",10,113738,0.57,0,0,0.033,0.064,0,1,1
Geopolitics,"Israel x Hezbollah Ceasefire extended by April 26, 2026?",10,32139,0.30,1,0,0.180,0.765,1,1,0
Geopolitics,"Will Trump restart Project Freedom by June 30?",10,20394,0.36,0,0,0.125,0.618,1,1,0
Other,"Starmer out by December 31, 2026?",10,95725,0.65,1,0,0.635,0.731,1,1,1
Geopolitics,"Will the next Prime Minister of Hungary be Péter Magyar?",10,40160,0.41,1,0,0.984,0.780,1,1,1
Geopolitics,"Will the next diplomatic US-Iran meeting be in Switzerland?",10,16805,0.45,1,1,0.647,0.339,1,0,1
Geopolitics,"Iran closes its airspace by June 30?",10,9309,0.24,0,0,0.327,0.353,1,0,0
Geopolitics,"US announces new Iran agreement/ceasefire extension by June 13?",9,11938,0.43,0,0,0.135,0.126,0,1,1
Geopolitics,"Will Donald Trump announce that the United States blockade of the Strait of Hormuz has been lifted by May 15, 2026?",9,59029,0.75,1,0,0.385,0.156,0,1,1
Geopolitics,"Will Abelardo de la Espriella  win the 2026 Colombian presidential election?",9,65389,0.41,0,0,0.375,0.791,1,1,0
Geopolitics,"US x Iran permanent peace deal by August 31, 2026?",8,28805,0.40,0,0,0.425,0.589,1,1,0
Economy,"Will there be no change in Fed interest rates after the April 2026 meeting?",8,321259,0.84,0,0,0.999,0.996,1,1,1
Sports,"Will Germany win the 2026 FIFA World Cup?",8,41890,0.62,1,1,0.051,0.023,0,1,1
Geopolitics,"US announces new Iran agreement/ceasefire extension by May 25?",8,11238,0.51,1,0,0.785,0.134,0,1,0
Geopolitics,"Trump announces US x Iran ceasefire over by June 12?",8,9121,0.38,1,0,0.048,0.109,0,1,1
Geopolitics,"Iran closes its airspace by May 27?",8,21631,0.73,0,0,0.255,0.341,0,1,1
Geopolitics,"Will the Iran ceasefire continue through May 31?",8,11200,0.62,1,0,0.675,0.712,0,0,0
Geopolitics,"Iran leadership change by May 31?",8,16878,0.28,1,0,0.043,0.163,0,1,1
Geopolitics,"Will Donald Trump announce that the United States blockade of the Strait of Hormuz has been lifted by April 30, 2026?",8,11838,0.33,0,0,0.500,0.082,0,1,1
Geopolitics,"Will Iran close its airspace by June 14?",8,19771,0.27,0,0,0.051,0.425,0,1,1
